state,Lock_down_length
Alabama,26
Alaska,41
Arizona,46
Arkansas,#N/A
California,#N/A
Colorado,32
Connecticut,58
Delaware,52
Florida,41
Georgia,27
Hawaii,67
Idaho,36
Illinois,70
Indiana,37
Iowa,#N/A
Kansas,34
Kentucky,#N/A
Louisiana,53
Maine,59
Maryland,#N/A
Massachusetts,24
Michigan,52
Minnesota,38
Mississippi,38
Missouri,27
Montana,29
Nebraska,#N/A
Nevada,45
New Hampshire,38
New Jersey,#N/A
New Mexico,52
New York,54
North Carolina,39
North Dakota,#N/A
Ohio,68
Oklahoma,#N/A
Oregon,#N/A
Pennsylvania,37
Rhode Island,41
South Carolina,35
South Dakota,#N/A
Tennessee,28
Texas,28
Utah,#N/A
Vermont,52
Virginia,72
Washington,42
West Virginia,41
Wisconsin,62
Wyoming,#N/A
